(◕‿◕),happy smile glad cheerful joy
(♥ω♥*),love heart in love affection romantic heart love symbol
(╥﹏╥),sad unhappy down gloomy depressed
(╬ಠ益ಠ),angry mad rage furious annoyed
(⁄ ⁄>⁄ ▽ ⁄<⁄ ⁄),shy blush bashful timid
(=^･ω･^=),cute kawaii adorable sweet lovely animal creature pet
¯\_(ツ)_/¯,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
(・∀・)ノ,happy smile glad cheerful joy greeting hello hi wave welcome
(｡•ᴗ•｡),cute kawaii adorable sweet lovely
(=^･ω･^=),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕ•ᴥ•ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
( •_•)>⌐■-■,cool confident swag badass slick
(★‿★),excited hype thrilled pumped yay sparkle shine glitter star
ヽ(ˇ∀ˇ )ゞ,happy smile glad cheerful joy celebrate congrats party cheers hooray
(╯°□°)╯︵ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
˖⁺‧₊˚ ♡ ˚₊‧⁺˖,cute kawaii adorable sweet lovely sparkle shine glitter star heart love symbol
(－‸ლ),dissatisfied unimpressed meh grumpy sulk
╭∩╮(Ο_Ο)╭∩╮,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(－_－) zzZ,sleepy sleep drowsy nap zzz
(^_-),cute kawaii adorable sweet lovely wink winking playful flirty
(・_・?),confused puzzled lost huh what
(＾▽＾),happy smile glad cheerful joy
(♡°▽°♡),love heart in love affection romantic heart love symbol
(T_T),sad unhappy down gloomy depressed
(ﾉಥ益ಥ)ﾉ,angry mad rage furious annoyed
(*/ω＼*),shy blush bashful timid
(=^‥^=),cute kawaii adorable sweet lovely animal creature pet
¯\_( ͡° ͜ʖ ͡°)_/¯,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
ヾ(＾-＾)ノ,happy smile glad cheerful joy greeting hello hi wave welcome
(◍•ᴗ•◍),cute kawaii adorable sweet lovely
(=｀ω´=),angry mad rage furious annoyed cat kitty kitten meow animal creature
ʕ￫ᴥ￩ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
(⌐■_■),cool confident swag badass slick
✧(≖ ‿ ≖),excited hype thrilled pumped yay sparkle shine glitter star
⌒(o^▽^o)ノ,happy smile glad cheerful joy celebrate congrats party cheers hooray
┻━┻ ︵ヽ(`Д´)ﾉ︵ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
⋆౨ৎ˚⟡˖°,cute kawaii adorable sweet lovely sparkle shine glitter star
╭∩╮(-_-)╭∩╮,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(_ _)..zzZ,sleepy sleep drowsy nap zzz
(^_−)−☆,cute kawaii adorable sweet lovely wink winking playful flirty sparkle shine glitter star
(⊙_☉),confused puzzled lost huh what
ㅡ(￣ー￣)ㅡ✧,smug smirk proud gloating lenny triumph give up defeat surrender done hopeless
(⊃///ω///⊂),embarrassed awkward cringe ashamed
(๑╯︵╰๑),sad unhappy down gloomy depressed crying cry
"(ﾉ╯︵╰,)ﾉ彡┻━┻",angry mad rage furious annoyed crying cry table flip flip table rage quit throw table
(・-・)…(-_-)…(_ _),tired exhausted worn out fatigue done
(￣▽￣)…”,smug smirk proud gloating lenny tease teasing joking tongue out playful
(・・?)⌇⌇,confused puzzled lost huh what question asking what why huh
(//ω//)ﾉ⌒♡,shy blush bashful timid love heart heart love symbol
ㅡ(￣▽￣)ㅡ♪,happy smile glad cheerful joy give up defeat surrender done hopeless music song singing note
(ﾉ>ω<)ﾉ♡♡,cute kawaii adorable sweet lovely excited hype
(・ω・)ﾉ ⌒ ヽ(・ω・),shy blush bashful timid greeting hello hi wave welcome
(－ω－)…⌒✧⌒✧,indifferent blank deadpan whatever expressionless sparkle shine glitter star
(≧◡≦),happy smile glad cheerful joy
(◍•ᴗ•◍)❤,love heart in love affection romantic heart love symbol
(ಥ﹏ಥ),sad unhappy down gloomy depressed
(¬_¬),disgusted gross ew yuck repulsed dissatisfied unimpressed
(//▽//),shy blush bashful timid
ฅ^•ﻌ•^ฅ,cute kawaii adorable sweet lovely animal creature pet
ᕕ( ᐛ )ᕗ,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
(*ﾟ▽ﾟ)ﾉ,happy smile glad cheerful joy greeting hello hi wave welcome
(｡♥‿♥｡),cute kawaii adorable sweet lovely heart love symbol
(=^-ω-^=),sleepy sleep drowsy nap zzz cat kitty kitten meow animal creature
ʕ　·ᴥ·ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
ᕕ( ᐛ )ᕗ,cool confident swag badass slick
( ✧Д✧),excited hype thrilled pumped yay sparkle shine glitter star
♪┏(・o･)┛♪,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note
(ノಠ益ಠ)ノ彡┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
✿*ﾟ‘ﾟ･✿,cute kawaii adorable sweet lovely sparkle shine glitter star flower bloom
"(¬_¬"")",dissatisfied unimpressed meh grumpy sulk
凸(￣ヘ￣),rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(∪.∪ )...zzz,sleepy sleep drowsy nap zzz
(◕‿↼),cute kawaii adorable sweet lovely wink winking playful flirty
(°ー°〃),confused puzzled lost huh what
(*^▽^*),happy smile glad cheerful joy
(*♡∀♡),love heart in love affection romantic heart love symbol
(っ- ‸ - ς),sad unhappy down gloomy depressed
(눈_눈),disgusted gross ew yuck repulsed dissatisfied unimpressed
(⁄ ⁄•⁄▽⁄•⁄ ⁄),shy blush bashful timid
(=①ω①=),cute kawaii adorable sweet lovely animal creature pet
╮(￣▽￣)╭,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
(￣▽￣)ノ,happy smile glad cheerful joy greeting hello hi wave welcome
( ˶ˆ ᗜ ˆ˵ ),cute kawaii adorable sweet lovely
(ΦωΦ),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕ ●ᴥ●ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
(▀̿Ĺ̯▀̿ ̿),cool confident swag badass slick
(◕‿◕)♡,excited hype thrilled pumped yay sparkle shine glitter star heart love symbol
ヾ(⌐■_■)ノ♪,happy smile glad cheerful joy laugh laughing lol haha giggle celebrate congrats party cheers hooray music song singing note dance dancing groove boogie
┳━┳ ノ( ゜-゜ノ),angry mad rage furious annoyed table flip flip table rage quit throw table
˚₊· ͟͟͞͞➳❥,cute kawaii adorable sweet lovely sparkle shine glitter star heart love symbol
(－_－;),dissatisfied unimpressed meh grumpy sulk
┌∩┐(◣_◢)┌∩┐,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(￣o￣) zzZ,sleepy sleep drowsy nap zzz
(･ω<)☆,cute kawaii adorable sweet lovely wink winking playful flirty sparkle shine glitter star
(・・？),confused puzzled lost huh what thinking think pondering hmm wondering
( ˆoˆ ),happy smile glad cheerful joy
( ˘ ³˘)♥,love heart in love affection romantic heart love symbol
(´;ω;`),sad unhappy down gloomy depressed
(＃`Д´),angry mad rage furious annoyed
(*ﾉ∀`*),shy blush bashful timid
(・(ｴ)・),cute kawaii adorable sweet lovely animal creature pet
┐(‘～`;)┌,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
ヾ(≧▽≦*)o,happy smile glad cheerful joy greeting hello hi wave welcome
૮ ˶ᵔ ᵕ ᵔ˶ ა,cute kawaii adorable sweet lovely
(=^･ｪ･^=),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕっ•ᴥ•ʔっ,cute kawaii adorable sweet lovely hug hugging embrace cuddle bear teddy animal creature
(☞ﾟヮﾟ)☞,cool confident swag badass slick
✩°｡⋆,excited hype thrilled pumped yay sparkle shine glitter star
♪(┌・。・)┌,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note dance dancing groove boogie
(╯'□')╯︵ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
⋆˙⟡♡,cute kawaii adorable sweet lovely sparkle shine glitter star heart love symbol
( ´_ゝ`),dissatisfied unimpressed meh grumpy sulk laugh laughing lol haha giggle
凸(ಠ益ಠ)凸,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
( ˘ω˘ )ｽﾔｧ,sleepy sleep drowsy nap zzz
(^_<)〜☆,cute kawaii adorable sweet lovely wink winking playful flirty sparkle shine glitter star
(✿◠‿◠),happy smile glad cheerful joy flower bloom blossom
(●♡∀♡),love heart in love affection romantic heart love symbol
(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥`),sad unhappy down gloomy depressed
ヽ(`Д´)ﾉ,angry mad rage furious annoyed
(〃▽〃),shy blush bashful timid
ʕ•ᴥ•ʔ,cute kawaii adorable sweet lovely animal creature pet
╮(╯_╰)╭,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
( ´ ▽ ` )ﾉ,happy smile glad cheerful joy greeting hello hi wave welcome
(⑅˘꒳˘),cute kawaii adorable sweet lovely
ฅ^•ﻌ•^ฅ,cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕ•̫͡•ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
( •̀ ω •́ )✧,cool confident swag badass slick sparkle shine glitter star
‧₊˚ ⋅,excited hype thrilled pumped yay sparkle shine glitter star
┗(＾0＾)┓,happy smile glad cheerful joy celebrate congrats party cheers hooray dance dancing groove boogie
┬─┬ ノ( ゜-゜ノ),angry mad rage furious annoyed table flip flip table rage quit throw table
๋࣭ ⭑,cute kawaii adorable sweet lovely sparkle shine glitter star
(´ω`;),dissatisfied unimpressed meh grumpy sulk
(¬_¬)凸,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(-.-)Zzz,sleepy sleep drowsy nap zzz
(>ω^),cute kawaii adorable sweet lovely wink winking playful flirty
(・∀・?),confused puzzled lost huh what
(❁´◡`❁),happy smile glad cheerful joy flower bloom blossom
(♡μ_μ),love heart in love affection romantic heart love symbol
( ; ω ; ),sad unhappy down gloomy depressed
(╯°□°）╯︵ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
(*/▽＼*),shy blush bashful timid
ʕ￫ᴥ￩ʔ,cute kawaii adorable sweet lovely animal creature pet
¯\(°_o)/¯,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
ヽ(•‿•)ノ,happy smile glad cheerful joy greeting hello hi wave welcome
ʚ(*´꒳`*)ɞ,cute kawaii adorable sweet lovely
(=①ω①=),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕ≧㉨≦ʔ,happy smile glad cheerful joy bear teddy animal creature
(ง •̀_•́)ง,cool confident swag badass slick
✿ ♡ ✿,excited hype thrilled pumped yay sparkle shine glitter star heart love symbol
♪(๑ᴖ◡ᴖ๑)♪,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note
(ノ｀´)ノ ~┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
‧₊˚✧,cute kawaii adorable sweet lovely sparkle shine glitter star
(＞人＜;),dissatisfied unimpressed meh grumpy sulk
╭∩╮(︶︿︶)╭∩╮,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(´～`)zzz,sleepy sleep drowsy nap zzz
(-_^),cute kawaii adorable sweet lovely wink winking playful flirty
(◎_◎;),confused puzzled lost huh what
(っ-‸-c),sad unhappy down gloomy depressed
( ˘ω˘ )✧⌒,smug smirk proud gloating lenny triumph
( ˃▽˂ )ゞ,embarrassed awkward cringe ashamed
(๑×_×๑)ﾉﾞ,tired exhausted worn out fatigue done
( ˘ω˘ )⌒(×_×),smug smirk proud gloating lenny
(・ω・)…♡,shy blush bashful timid love heart heart love symbol
(・ω・)ﾉ⌒⋀⋀,happy smile glad cheerful joy
(＾◡＾),happy smile glad cheerful joy
(´ ▽`).｡ｏ♡,love heart in love affection romantic heart love symbol
(个_个),sad unhappy down gloomy depressed
┻━┻ ︵ヽ(`Д´)ﾉ︵ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
(„• ᴗ •„),shy blush bashful timid
(´(ｪ)`),cute kawaii adorable sweet lovely animal creature pet
( ͡° ͜ʖ ͡°),indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
(⌒‿⌒)/,happy smile glad cheerful joy greeting hello hi wave welcome
(´｡• ᵕ •｡`),cute kawaii adorable sweet lovely
(ﾐዋ ﻌ ዋﾐ),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕ•ﻌ•ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
✧٩(•́⌄•́๑),cool confident swag badass slick sparkle shine glitter star
˚ʚ♡ɞ˚,excited hype thrilled pumped yay sparkle shine glitter star heart love symbol
ヽ(´▽`)/,happy smile glad cheerful joy celebrate congrats party cheers hooray
(┛◉Д◉)┛彡┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
꒰ ⁀➷,cute kawaii adorable sweet lovely sparkle shine glitter star
(o_ _)o,dissatisfied unimpressed meh grumpy sulk
凸(-0-メ),rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(ᴗ_ᴗ),sleepy sleep drowsy nap zzz
(^_-)≡★,cute kawaii adorable sweet lovely wink winking playful flirty sparkle shine glitter star
(⊙_⊙)？,confused puzzled lost huh what
(・ω・)…(・_・)…(・ω・),confused puzzled lost huh what question asking what why huh
(◍•ᴗ•◍),happy smile glad cheerful joy
(≧◡≦) ♡,love heart in love affection romantic heart love symbol
(っ˘̩╭╮˘̩)っ,sad unhappy down gloomy depressed
(ノಠ益ಠ)ノ彡┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
( ˶˘ ³˘˶ ),shy blush bashful timid
/ᐠ｡ꞈ｡ᐟ\,cute kawaii adorable sweet lovely animal creature pet
(¯_(ツ)_/¯),indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
(*・ω・)ﾉ,happy smile glad cheerful joy greeting hello hi wave welcome
꒰ᐢ. .ᐢ꒱,cute kawaii adorable sweet lovely
(=˃ᆺ˂=),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ᕦʕ •ᴥ•ʔᕤ,cute kawaii adorable sweet lovely bear teddy animal creature
( ᐛ )و,cool confident swag badass slick
⋆⭒˚｡⋆,excited hype thrilled pumped yay sparkle shine glitter star
＼(≧▽≦)／,happy smile glad cheerful joy celebrate congrats party cheers hooray
╯°Д°）╯︵ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
୨୧,cute kawaii adorable sweet lovely sparkle shine glitter star
(=_=;),dissatisfied unimpressed meh grumpy sulk
(￣^￣)凸,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
"(-, -)…zzZ",sleepy sleep drowsy nap zzz
(・ω<),cute kawaii adorable sweet lovely wink winking playful flirty
( ﾟ□ﾟ),confused puzzled lost huh what
(*≧ω≦*),happy smile glad cheerful joy
(っ˘з(˘⌣˘ ),love heart in love affection romantic heart love symbol
(｡•́︿•̀｡),sad unhappy down gloomy depressed
(っ-̶●̶᷅﹏-̶●̶᷅ς),angry mad rage furious annoyed
(๑•́ ₃ •̀๑),shy blush bashful timid
(=ＴェＴ=),cute kawaii adorable sweet lovely animal creature pet
ヽ(ー_ー )ノ,disgusted gross ew yuck repulsed dissatisfied unimpressed
ノ(・ω・)ノ,happy smile glad cheerful joy greeting hello hi wave welcome
( ◜‿◝ )♡,cute kawaii adorable sweet lovely heart love symbol
(=ↀωↀ=),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕっ˘ω˘ʔっ,cute kawaii adorable sweet lovely hug hugging embrace cuddle bear teddy animal creature
٩( ᐛ )و,cool confident swag badass slick
₊˚✧ ゚.,excited hype thrilled pumped yay sparkle shine glitter star
(ノ￣ー￣)ノ,happy smile glad cheerful joy celebrate congrats party cheers hooray dance dancing groove boogie
┻━┻ ヽ(´□｀ )ﾉ,angry mad rage furious annoyed table flip flip table rage quit throw table
⋆ ˚｡⋆୨୧˚,cute kawaii adorable sweet lovely sparkle shine glitter star
(￣～￣;),dissatisfied unimpressed meh grumpy sulk
┌∩┐(◕_◕)┌∩┐,rude middle finger mocking insult flipping off tease teasing joking tongue out playful
(¦3[▓▓],sleepy sleep drowsy nap zzz
(๑>ᴗ<๑)b,cute kawaii adorable sweet lovely wink winking playful flirty
(?_?),confused puzzled lost huh what thinking think pondering hmm wondering
(＾ｖ＾),happy smile glad cheerful joy
♡(˃͈ દ ˂͈ ༶ ),love heart in love affection romantic heart love symbol
(⌣́_⌣̀),sad unhappy down gloomy depressed
(ㅇㅅㅇ❀),angry mad rage furious annoyed flower bloom blossom
(‾▿‾),shy blush bashful timid
(＾• ω •＾),cute kawaii adorable sweet lovely animal creature pet
( ﾟдﾟ)つ,happy smile glad cheerful joy greeting hello hi wave welcome
(*ᴗ͈ˬᴗ͈)ꕤ,cute kawaii adorable sweet lovely
(^≗ω≗^),cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕ ﾟᴥﾟʔ,cute kawaii adorable sweet lovely bear teddy animal creature
(￣ー￣)ｂ,cool confident swag badass slick
｡ﾟ+.ღ,excited hype thrilled pumped yay sparkle shine glitter star
⁽⁽◝( ˙ ꒳ ˙ )◜⁾⁾,happy smile glad cheerful joy celebrate congrats party cheers hooray
๑˚ ᵕ ˚๑,cute kawaii adorable sweet lovely sparkle shine glitter star
(・∀・;),dissatisfied unimpressed meh grumpy sulk
( ｰ̀ω⁃᷄),cute kawaii adorable sweet lovely wink winking playful flirty
(・・;)ゞ,confused puzzled lost huh what
(´꒳`),happy smile glad cheerful joy
"(´,,•ω•,,)♡",love heart in love affection romantic heart love symbol
(っ °Д °;)っ,sad unhappy down gloomy depressed
(⋋▂⋌),angry mad rage furious annoyed
(•ᴗ•๑),shy blush bashful timid
(๑ᵕ⌓ᵕ̤),cute kawaii adorable sweet lovely animal creature pet
(o´▽`o)ﾉ,happy smile glad cheerful joy greeting hello hi wave welcome
( ˶>ᴗ<˶),cute kawaii adorable sweet lovely
／(=∵=)＼,cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
ʕ·ᴥ·ʔ,cute kawaii adorable sweet lovely bear teddy animal creature
( ｀ー´)b,cool confident swag badass slick
( ﾉ๑˃ᴗ˂)ﾉ*:･ﾟ✧,excited hype thrilled pumped yay sparkle shine glitter star
٩(♡ε♡)۶,happy smile glad cheerful joy celebrate congrats party cheers hooray heart love symbol
⟢ ⋆ ˚,cute kawaii adorable sweet lovely sparkle shine glitter star
(´Д｀;),dissatisfied unimpressed meh grumpy sulk
(。-ω-)zzz,sleepy sleep drowsy nap zzz
(⌒.−)=★,cute kawaii adorable sweet lovely wink winking playful flirty sparkle shine glitter star
(´･_･`),confused puzzled lost huh what
(っ- ‸ -c)ﾌ,sad unhappy down gloomy depressed happy smile
(•̀ω•́)ง,proud triumph victory accomplished cool confident
(・ω・)…(・ω・)…,embarrassed awkward cringe ashamed
(っ˘ω˘)っ⌒(◡‿◡),love heart in love affection romantic hug hugging embrace cuddle
( ˘⌣˘ ),happy smile glad cheerful joy
(*˘︶˘*).｡.:*♡,love heart in love affection romantic heart love symbol
(￣ヘ￣),sad unhappy down gloomy depressed
(҂◡_◡),angry mad rage furious annoyed
(๑>◡<๑),shy blush bashful timid
≽^•⩊•^≼,cute kawaii adorable sweet lovely animal creature pet
(ﾉ◕ヮ◕)ﾉ,cute kawaii adorable sweet lovely
(=ＴェＴ=),crying cry tears sob weeping cat kitty kitten meow animal creature
❀°｡⋆,cute kawaii adorable sweet lovely sparkle shine glitter star
(◔◡◔),happy smile glad cheerful joy
ヽ(o♡o)/,love heart in love affection romantic heart love symbol
( ˃̣̣̥⌓˂̣̣̥ ),sad unhappy down gloomy depressed
ಠ_ಠ,disgusted gross ew yuck repulsed dissatisfied unimpressed
(・◇・),cute kawaii adorable sweet lovely animal creature pet
꒰ ˶• ᴗ •˶ ꒱,cute kawaii adorable sweet lovely
ᓚᘏᗢ,cute kawaii adorable sweet lovely cat kitty kitten meow animal creature
♡︎˚｡⋆,cute kawaii adorable sweet lovely sparkle shine glitter star heart love symbol
(・∀・),happy smile glad cheerful joy
(♡´౪`♡),love heart in love affection romantic heart love symbol
(◞‸◟),sad unhappy down gloomy depressed
ಠ益ಠ,angry mad rage furious annoyed
(°ㅂ°),cute kawaii adorable sweet lovely animal creature pet
(≧ω≦),cute kawaii adorable sweet lovely
(⌒▽⌒),happy smile glad cheerful joy
(灬♥ω♥灬),love heart in love affection romantic heart love symbol
(´-ω-`),sad unhappy down gloomy depressed
ミ๏ｖ๏彡,cute kawaii adorable sweet lovely animal creature pet
(๑˃ᴗ˂)ﻭ,happy smile glad cheerful joy
( ˶ˆ ᗜ ˆ˵ )♡,love heart in love affection romantic heart love symbol
(・_・;),sad unhappy down gloomy depressed
(ᵔᴥᵔ),cute kawaii adorable sweet lovely animal creature pet
(⌒‿⌒)…(︶︹︺),sad unhappy down gloomy depressed love heart
\(^o^)/,happy smile glad cheerful joy
(♡ᴗ♡),love heart in love affection romantic heart love symbol
(-_-),sad unhappy down gloomy depressed
ʕ·ᴥ·ʔ,cute kawaii adorable sweet lovely animal creature pet
(*´▽`*),happy smile glad cheerful joy
(⁄ ⁄•⁄ω⁄•⁄ ⁄),love heart in love affection romantic heart love symbol
(◠‿◠),happy smile glad cheerful joy
(♡_♡),love heart in love affection romantic heart love symbol
(＾▿＾),happy smile glad cheerful joy
ヽ(・∀・)ﾉ,happy smile glad cheerful joy
(￣▽￣),happy smile glad cheerful joy
(°▽°),happy smile glad cheerful joy
( ᐛ ),happy smile glad cheerful joy
(っ˘ω˘ς),happy smile glad cheerful joy
(＾～＾),happy smile glad cheerful joy
(・ω・),happy smile glad cheerful joy
(｡･ω･｡),cute kawaii adorable sweet lovely
(♡˙︶˙♡),love heart in love affection romantic heart love symbol
ʕ•ᴥ•ʔ♡,love heart in love affection romantic bear teddy animal creature
(・×・),cute kawaii adorable sweet lovely animal creature pet
✧*｡٩(ˊωˋ*)و✧*｡,excited hype thrilled pumped yay sparkle shine glitter star
(⁄ ⁄·⁄ω⁄·⁄ ⁄),shy blush bashful timid
(ノ_;),sad unhappy down gloomy depressed
(＃＞＜),angry mad rage furious annoyed
ヽ(⌐■_■)ノ♪♬,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note dance dancing groove boogie
(ノToT)ノ ~┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
¯\\_(⊙_ʖ⊙)_/¯,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
｡ﾟ•┈୨♡୧┈•ﾟ｡,cute kawaii adorable sweet lovely sparkle shine glitter star heart love symbol
( ｀ー´),
(*^‿^*),happy smile glad cheerful joy
(´｡•ω•｡`),cute kawaii adorable sweet lovely
(´｡• ᵕ •｡`) ♡,love heart in love affection romantic heart love symbol
ฅ(^･ω･^ฅ),cute kawaii adorable sweet lovely greeting hello hi wave welcome cat kitty kitten meow animal creature
/(^ x ^)\\,cute kawaii adorable sweet lovely animal creature pet
(๑˃̵ᴗ˂̵)و,excited hype thrilled pumped yay sparkle shine glitter star
(*ﾉдﾉ),shy blush bashful timid
(｀Δ´)！,angry mad rage furious annoyed
♪♪ ヽ(ˇ∀ˇ )ゞ,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note
(ﾉ*-*)ﾉ ~┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
¯\\_(ಠ_ಠ)_/¯,disgusted gross ew yuck repulsed dissatisfied unimpressed
ヾ(＠⌒ー⌒＠)ノ,happy smile glad cheerful joy laugh laughing lol haha giggle greeting hello hi wave welcome
˚｡⋆୨୧˚,cute kawaii adorable sweet lovely sparkle shine glitter star
(￣▽￣*)ゞ,happy smile glad cheerful joy
(*ﾉωﾉ),cute kawaii adorable sweet lovely
(°⌂°),cute kawaii adorable sweet lovely animal creature pet
✨(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,excited hype thrilled pumped yay sparkle shine glitter star
(っ˘̩╭╮˘̩),sad unhappy down gloomy depressed
(‡▼益▼),angry mad rage furious annoyed
(っ˘ω˘ς )♪,happy smile glad cheerful joy celebrate congrats party cheers hooray music song singing note
┻━┻︵ヽ(`Д´)ﾉ︵﻿ ┻━┻,angry mad rage furious annoyed table flip flip table rage quit throw table
乁( ⁰͡ Ĺ̯ ⁰͡ ) ㄏ,indifferent blank deadpan whatever expressionless shrug idk whatever dunno who knows
⋆｡°✩,cute kawaii adorable sweet lovely sparkle shine glitter star
(*_*),surprised shocked shock wow startled thinking think pondering hmm wondering sick ill unwell nauseous under the weather
(≧∀≦)ゞ,happy smile glad cheerful joy
(^･o･^)ﾉ,happy smile glad cheerful joy greeting hello hi wave welcome cat kitty kitten meow animal creature
